"","fvegHW90mask","bird90","mammal90","reptile90","aetfeb_90m","cwdfeb_90m","pptfeb_90m","pptdjf_90m","pptjja_90m","tmnfeb_90m","tmxfeb_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"107",15,142,46,24,41.1842994689941,0,89.4970016479492,83.5883026123047,0.930400013923645,1.08599996566772,15.7819995880127,32.4317016601562,0.273099988698959,-84593.3827627063,-179369.192037669
"108",15,142,46,24,45.5792999267578,1.4103000164032,86.992301940918,83.8718032836914,1.396399974823,2.32200002670288,16.1056995391846,31.6854000091553,1.65339994430542,-105821.419686523,-169084.03992787
"109",3,77,35,29,28.1093006134033,42.6743011474609,30.0020008087158,25.6667995452881,6.36569976806641,4.31300020217896,14.6366996765137,34.3242988586426,3.67070007324219,271186.507536829,-325789.395190495
"110",3,119,57,40,56.3959999084473,15.649299621582,67.3556976318359,60.5778007507324,3.6136999130249,4.79829978942871,17.2082996368408,36.0429000854492,4.37200021743774,315321.100109057,-433964.857643295
"111",8,151,57,29,71.0410003662109,2.94899988174438,210.243698120117,172.772705078125,3.69770002365112,6.69430017471313,17.1016998291016,32.0733985900879,6.37160015106201,234872.361659803,-421133.174000312
"112",15,150,55,29,66.0690002441406,3.77769994735718,223.287292480469,183.262893676758,3.39910006523132,6.31099987030029,16.8819999694824,31.8894004821777,5.99289989471436,233479.914059372,-418221.577210861
"113",8,152,57,28,66.7249984741211,4.00430011749268,161.816696166992,128.627105712891,5.03079986572266,4.16429996490479,15.7349996566772,32.9211006164551,3.87409996986389,259769.167836859,-421771.938297746
"114",8,163,59,27,63.2467002868652,7.88329982757568,116.183296203613,91.1406021118164,5.32889986038208,5.95529985427856,17.9580001831055,33.7130012512207,5.69530010223389,271025.668465393,-433530.417987826
"115",3,164,58,26,70.0112991333008,7.04199981689453,160.664001464844,129.870193481445,3.51090002059937,6.76429986953735,18.2007007598877,32.9966011047363,6.46339988708496,245843.70976496,-420849.324905801
"116",15,170,56,30,57.8437004089355,13.6230001449585,87.7170028686523,71.0622024536133,1.43840003013611,7.09000015258789,19.7696990966797,27.5795993804932,6.44789981842041,248904.202494503,-505083.643042874
"117",15,143,44,24,42.3549995422363,3.53730010986328,85.0179977416992,78.4044036865234,1.85000002384186,5.95469999313354,15.1309995651245,30.2063999176025,5.77470016479492,-141405.321105918,-39419.5332137421
"118",2,143,44,24,46.5279998779297,0,74.0559997558594,69.3218002319336,1.97469997406006,5.62099981307983,15.5792999267578,31.1058006286621,5.29930019378662,-141384.691643869,-39241.9912532037
"119",11,165,37,12,43.6502990722656,0,87.8503036499023,83.1119003295898,1.47490000724792,5.16370010375977,16.0823001861572,32.7859001159668,4.03439998626709,-95362.3549996652,19939.4780916641
"120",2,146,44,24,43.3339996337891,0.0386999994516373,61.0962982177734,56.7877998352051,1.47679996490479,4.77600002288818,15.8629999160767,30.6679992675781,3.94099998474121,-131454.402483104,-42628.4018753883
"121",5,148,49,18,52.301700592041,4.1382999420166,94.8470001220703,90.1608963012695,2.90790009498596,3.74729990959167,17.43869972229,30.182300567627,2.5297999382019,-60792.397343236,-280624.126390984
"122",5,192,49,18,58.2719993591309,0.0447000004351139,114.482696533203,101.501998901367,1.18929994106293,6.33699989318848,17.9682998657227,23.4197006225586,5.62960004806519,-67548.9221966228,-298411.418023463
"123",8,183,50,20,43.9412994384766,0,191.244995117188,192.204803466797,3.89669990539551,4.86399984359741,14.4973001480103,26.8603992462158,5.52269983291626,-198722.346763466,-70499.1666583065
