"","fvegHW90mask","bird90","mammal90","reptile90","aetmay_90m","cwdmay_90m","pptmay_90m","pptdjf_90m","pptjja_90m","tmnmay_90m","tmxmay_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"64",15,168,38,14,122.218696594238,48.7212982177734,24.9792995452881,108.674102783203,2.70499992370605,11.4083003997803,26.7119998931885,33.2084007263184,4.55800008773804,-105263.242641138,71464.4681822415
"65",15,168,39,14,126.13330078125,44.1666984558105,24.9986991882324,109.999298095703,2.67779994010925,11.3896999359131,26.742000579834,33.2672004699707,4.55569982528687,-103427.542894608,70874.2828807756
"66",9,154,60,24,55.7602996826172,84.1733016967773,20.0142993927002,134.138198852539,10.7419004440308,4.3092999458313,20.4603004455566,26.6802997589111,-2.86829996109009,284645.580829993,-431868.082536022
"67",15,163,56,33,57.0009994506836,91.1856994628906,19.1546993255615,116.241798400879,12.0180997848511,7.3422999382019,22.5792999267578,29.262300491333,1.76820003986359,315423.835478843,-545836.519963077
"68",15,167,55,32,57.2762985229492,90.556999206543,15.0857000350952,117.097297668457,11.8942003250122,8.68430042266846,21.9799995422363,29.035400390625,2.08870005607605,290781.273912905,-514237.913772136
"69",5,192,49,18,61.040699005127,94.1626968383789,10.7279996871948,101.501998901367,1.18929994106293,9.0516996383667,21.0750007629395,23.4197006225586,5.62960004806519,-67548.9221966228,-298411.418023463
"70",8,183,50,20,58.9539985656738,93.3759994506836,30.2523002624512,192.204803466797,3.89669990539551,7.98470020294189,21.7327003479004,26.8603992462158,5.52269983291626,-198722.346763466,-70499.1666583065
"71",15,194,51,19,42.3717002868652,112.144996643066,19.75830078125,141.820205688477,1.8154000043869,7.79570007324219,24.4503002166748,29.5722999572754,4.90469980239868,-201725.280729404,-58646.947681813
"72",15,187,50,19,51.505298614502,101.624702453613,25.2367000579834,178.926605224609,2.50309991836548,7.84770011901855,23.8817005157471,28.8521995544434,4.90579986572266,-202485.430468611,-61496.7957121055
"73",15,184,50,20,70.4862976074219,78.9203033447266,33.4243011474609,183.37190246582,3.87339997291565,8.84070014953613,20.3342990875244,25.3437995910645,5.93370008468628,-192765.700088367,-73997.5688679526
"74",15,184,50,20,55.7443008422852,99.0356979370117,27.3659992218018,197.274002075195,2.5485999584198,7.8137001991272,23.5916996002197,28.496000289917,4.76119995117188,-199397.082372238,-67110.18217821
"75",15,184,50,20,138.550994873047,17.4057006835938,21.5690002441406,162.593399047852,2.13540005683899,7.80830001831055,24.7877006530762,29.6016998291016,4.31979990005493,-196699.072238836,-69190.216439371
"76",15,180,47,19,11.6253004074097,140.878005981445,10.184700012207,99.4030990600586,1.08120000362396,9.52130031585693,20.5296993255615,23.5552005767822,6.00269985198975,-21759.8233286805,-391995.57953049
"77",5,200,48,17,22.2180004119873,131.758697509766,18.492000579834,110.574203491211,1.58589994907379,10.5963001251221,21.7943000793457,24.8729991912842,5.76840019226074,-202011.983917717,1635.93509189924
"78",2,149,45,25,71.923698425293,79.9096984863281,15.75,112.318603515625,0.658900022506714,8.77530002593994,23.0370006561279,28.2604007720947,4.30819988250732,-141931.838907426,-93305.3188479813
"79",15,183,49,20,77.6763000488281,70.5469970703125,35.3442993164062,199.036605834961,4.40530014038086,9.11100006103516,19.3090000152588,24.660400390625,5.97200012207031,-190467.959034741,-79946.4732564557
"80",15,186,50,20,55.9082984924316,97.5950012207031,22.3896999359131,155.455200195312,2.39459991455078,8.35000038146973,23.6382999420166,28.1583995819092,5.37760019302368,-192662.015073926,-70494.9728597463
"81",15,183,49,20,42.7690010070801,105.224296569824,37.8922996520996,185.745407104492,3.51200008392334,8.64669990539551,20.4962997436523,25.7784004211426,5.90170001983643,-190122.90610233,-76964.7409739667
"82",7,188,47,19,96.177001953125,53.4830017089844,31.4039993286133,225.087799072266,4.65719985961914,8.24969959259033,20.8847007751465,24.7101993560791,4.94269990921021,-192850.632490955,-106149.854430538
"83",15,182,50,19,46.0637016296387,100.023002624512,40.1436996459961,281.125793457031,3.55970001220703,9.35229969024658,20.3946990966797,26.0599994659424,5.9047999382019,-161212.894111435,-102768.300095099
"84",9,187,47,18,81.2123031616211,73.5442962646484,16.4193000793457,118.252197265625,1.05770003795624,8.90629959106445,21.3922996520996,23.0181007385254,4.72329998016357,-161271.423813826,-115107.598356274
"85",5,187,49,19,85.4240036010742,69.4592971801758,23.2287006378174,175.596298217773,2.34120011329651,8.59969997406006,21.2766990661621,22.9179000854492,4.58290004730225,-182429.701230817,-113549.906273459
"86",7,188,49,19,132.001693725586,22.5550003051758,23.2950000762939,177.364196777344,2.31629991531372,8.68770027160645,21.4843006134033,23.2605991363525,4.68739986419678,-181466.897965393,-111370.457181043
"87",8,186,49,19,139.600997924805,13.6656999588013,31.0709991455078,235.976593017578,2.87890005111694,8.37899971008301,22.0247001647949,26.5382995605469,5.37069988250732,-184694.445042566,-109012.210242408
"88",8,186,49,19,139.600997924805,13.6656999588013,31.0709991455078,235.976593017578,2.87890005111694,8.37899971008301,22.0247001647949,26.5382995605469,5.37069988250732,-184694.533871187,-109012.208294329
"89",15,149,62,20,142.933303833008,0,86.5987014770508,319.764099121094,16.9480991363525,9.58629989624023,25.1573009490967,33.1731986999512,1.82819998264313,-189472.460699974,326822.43077595
"90",15,146,44,15,139.234298706055,18.8756999969482,44.2112998962402,148.553695678711,8.9827995300293,11.7227001190186,27.0457000732422,34.548698425293,3.15560007095337,-194570.741595862,270664.642934238
"91",15,147,43,16,124.809700012207,33.7902984619141,41.6456985473633,140.887405395508,8.46679973602295,11.6149997711182,27.0900001525879,34.7561988830566,2.93440008163452,-192273.301289957,275202.901722976
"92",7,144,63,17,100.690002441406,33.5867004394531,38.976001739502,184.25520324707,11.7251996994019,5.57499980926514,23.6019992828369,31.171199798584,-0.235100001096725,-263995.748346756,429996.366292604
"93",7,146,67,17,47.8530006408691,73.6210021972656,34.2070007324219,47.1341018676758,14.7052001953125,2.57299995422363,18.0690002441406,26.5583992004395,-5.03310012817383,-177659.800674207,426797.304037295
